OBJECTID,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,USTRZUSTAND,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84
73790,5,5,15,0,2020,1,8,3,3,5,2,0,1,1,0,0,0,0,1,"412166,518000000160000","5759474,415999999300000","7,721144127000059","51,978996493000068"
73917,5,5,15,0,2020,1,9,2,3,5,3,0,1,1,0,0,0,0,0,"407125,860700000080000","5751316,521199999400000","7,649976999000046","51,904849201000047"
74036,5,5,15,0,2020,1,12,7,2,0,1,0,1,0,0,0,0,0,1,"402675,347799999640000","5754819,414599999800000","7,584314763000066","51,935574680000059"
74136,5,5,15,0,2020,1,8,5,3,0,2,0,1,1,0,0,0,0,1,"407168,081199999900000","5757930,210100000700000","7,648805774000039","51,964303776000065"
74168,5,5,15,0,2020,1,21,4,3,5,3,2,1,1,0,0,0,0,0,"407262,322900000030000","5756888,668199999300000","7,650458269000069","51,954957581000031"
74171,5,5,15,0,2020,1,12,4,3,5,3,0,1,1,0,0,0,0,1,"403988,757000000220000","5761396,302400000400000","7,601574558000039","51,994918101000053"
74179,5,5,15,0,2020,1,8,4,3,5,2,1,1,1,0,0,0,0,0,"405900,997000000440000","5760101,257999999400000","7,629773442000044","51,983605050000051"
74185,5,5,15,0,2020,1,13,6,3,5,3,0,1,1,0,0,0,0,1,"409070,905199999920000","5752861,939300000700000","7,677834083000050","51,919061361000047"
74236,5,5,15,0,2020,1,13,6,3,5,2,0,1,1,0,0,0,0,1,"406321,599499999550000","5756459,106499999800000","7,636889897000060","51,950938800000074"
74411,5,5,15,0,2020,1,15,3,3,5,3,0,1,1,0,0,0,0,0,"405739,755499999970000","5753728,591499999200000","7,629174487000057","51,926297328000032"
74423,5,5,15,0,2020,1,7,2,3,5,2,1,1,1,0,0,0,0,1,"402894,947700000370000","5755013,630300000300000","7,587453187000051","51,937358716000062"
74497,5,5,15,0,2020,1,20,3,3,5,3,2,1,1,0,0,0,0,0,"405234,569000000130000","5750568,948999999100000","7,622699128000022","51,897811137000076"
74639,5,5,15,0,2020,1,12,3,3,5,2,0,1,1,0,0,0,0,1,"403058,600100000390000","5758145,626399999500000","7,588949519000039","51,965538588000072"
75329,5,5,15,0,2020,1,15,4,3,5,2,0,1,1,0,0,0,0,1,"408397,253100000320000","5753910,463500000500000","7,667762579000055","51,928375756000037"
75425,5,5,15,0,2020,1,10,3,3,5,3,0,1,1,0,0,0,0,1,"403048,699000000020000","5758116,989800000600000","7,588813534000053","51,965279468000062"
75428,5,5,15,0,2020,1,11,4,3,0,7,0,1,0,0,0,0,0,1,"407837,765800000170000","5758254,632500000300000","7,658463245000064","51,967331287000036"
75703,5,5,15,0,2020,1,14,3,2,5,3,0,1,1,0,0,0,0,1,"404099,684000000360000","5753880,054999999700000","7,605288312000027","51,927378622000049"
76119,5,5,15,0,2020,2,7,2,3,5,2,1,1,1,0,0,0,0,1,"401195,111999999730000","5753700,882400000500000","7,563111689000039","51,925260207000065"
76188,5,5,15,0,2020,1,7,4,3,5,3,2,1,1,0,0,0,0,1,"407044,722400000320000","5756923,664400000100000","7,647283177000077","51,955235815000037"
76212,5,5,15,0,2020,2,7,2,2,5,3,2,1,1,0,0,0,0,1,"400146,652900000100000","5756905,551899999400000","7,546939070000065","51,953877217000070"
