OBJECTID;UIDENTSTLAE;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84;STRZUSTAND
96221;;5;5;15;0;2019;1;20;5;3;4;2;2;1;1;0;0;0;0;407031,4463;5757918,803;7,646820702;51,96417841;1
96294;;5;5;15;0;2019;1;19;4;3;3;6;2;1;0;0;0;0;0;405160,1144;5756934,444;7,619863259;51,95501449;0
96575;;5;5;15;0;2019;1;0;1;2;5;3;2;1;1;0;0;0;0;406305,7669;5756678,901;7,636599663;51,95291176;1
96636;;5;5;15;0;2019;1;13;6;3;5;2;0;1;1;0;0;0;0;400561,829;5756756,569;7,553021717;51,95261253;1
96740;;5;5;15;0;2019;1;1;5;3;0;1;2;1;0;0;0;0;0;406307,0626;5757679,488;7,63634563;51,96190572;0
96822;;5;5;15;0;2019;1;20;4;3;3;6;2;1;0;0;0;0;0;406077,4915;5756742,16;7,633261623;51,95344185;0
96825;;5;5;15;0;2019;1;13;4;2;0;1;0;1;0;0;0;0;0;401821,2288;5760893,502;7,570158515;51,99001987;0
96894;;5;5;15;0;2019;1;7;2;3;0;1;1;1;0;0;0;0;0;401204,2576;5764140,955;7,560239769;52,01909894;1
97286;;5;5;15;0;2019;1;23;4;3;1;5;2;1;1;0;0;0;0;407021,7976;5757850,163;7,646698889;51,96355983;1
97287;;5;5;15;0;2019;1;16;4;3;5;6;0;1;1;0;0;0;0;405578,328;5756998,951;7,625929598;51,95566548;0
97289;;5;5;15;0;2019;1;7;4;3;5;3;1;1;1;0;0;0;0;405194,3238;5750115,781;7,622239004;51,89373098;0
97618;;5;5;15;0;2019;1;11;7;3;5;3;0;1;1;0;0;0;0;403491,4602;5755466,971;7,596000364;51,94153728;0
97695;;5;5;15;0;2019;1;16;6;3;5;2;0;1;1;0;0;0;0;403022,61;5754056,402;7,589579454;51,92877709;0
